style,Start_Year,End_Year,google,scholar,continent,parent
Ancient Egyptian,3100 BCE,30 BCE,221000,469000,Africa
Ancient Greek,900 BCE,146 BCE,540000,985000,Europe
Ancient Roman,300 BCE,476 CE,382000,1410000,Europe
Byzantine,330 CE,1453 CE,878000,320000,Europe
Islamic,622 CE,1500 CE,4760000,1480000,Arabia
Pre-Romanesque,300 CE,800 CE,17000,2610,Europe
Romanesque,800 CE,1200 CE,1100000,106000,Europe
Gothic,1100 CE,1500 CE, 4950000,398000,Europe
Renaissance,1400 CE,1600 CE,1210000,1460000,Europe
Baroque,1584 CE,1750 CE,2310000,182000,Europe
Rococo,1730 CE,1760 CE,111000,33600,Europe
Neoclassical,1740 CE,1909 CE,789000,85200,Europe
Georgian,1714 CE,1837 CE,1080000,186000,Europe
Victorian,1837 CE,1901 CE, 1860000,478000,Europe
Gothic Revival,1840 CE,1890 CE, 565000,82300,Europe
Art Nouveau,1890 CE,1914 CE,561000,205000,Europe
Beaux-Arts,1830 CE,1900 CE,200000,90100,Europe
Arts and Crafts,1890 CE,1930 CE,69300,390000,America
Art Deco,1920 CE,1939 CE,2150000,103000,America
International Style,1920 CE,1950 CE,92800,2880000,International
Brutalism,1950 CE,1970 CE,46700,14900,Europe
Postmodernism,1960 CE,2000 CE,16000,276000,International
High-Tech,1960 CE,present,96900,378000,International
Deconstructivism,1980 CE,present,21700,9310,International,Postmodernism
Neo-Futurism,1960 CE,present,3010,179,International,Parametricism
Sustainable (Green),1970 CE,present,14500,11700,International,
Parametricism,1998 CE,present,2810,21000,International,
New Formalism,1950 CE,1980 CE,12100,266000,America,
Structural Expressionism,1950 CE,1980 CE,1510,28800,International,Modernism
Late Modernism,1960 CE,present,7390,468000,International,Modernism
Neo-Expressionism,1970 CE,present,10700,1150,International
Critical Regionalism,1980 CE,present,8300,65200,Europe
Post-Structuralism,1980 CE,present,973,38000,International,Postmodernism
De Stijl,1917 CE,1931 CE,24500,21700,Europe,Modernism
Expressionism,1905 CE,1930 CE,19200,49000,Europe,
Tudor,1485 CE,1603 CE,160000,834,Europe,Medieval
Colonial,1600 CE,1947 CE,4950000,17600,International,
Italianate,1830 CE,1870 CE,103000,556,International
Shingle Style,1880 CE,1900 CE,38600,97,America
Ranch-style house,1930 CE,1970 CE,71600,110,America
Colonial Revival,1880 CE,1930 CE,121000,449,America
Mesoamerican,2000 BCE,1519 CE, 27600,732,America
Constructivism,1917 CE,1930 CE,42700,117,Asia
Neolithic,10000 BCE,2000 BCE,27600,843,Europe
Mesopotamia,10000 BCE,6000 BCE,  7980,48,Arabia
Ancient Persian,550 BCE,330 BCE, 32800,87,Arabia
Muscovite,1407 CE,1692 CE,3050,100,Asia,Baroque
Chinese Imperial,618 CE,1912 CE,2990000,13900,Asia
Gupta,320 CE,550 CE,17500,277,Asia
Nagara,1000 CE,1200 CE, 12400,104,Asia
Dravidian,2500 BCE,1000 BCE,180000,364,Asia
Vesara,603 CE,1200 CE,2850,30,Asia
Jain,1000 CE,1800 CE, 43300,329,Asia
Māru-Gurjara,600 CE,1300 CE,2460,,Asia
Asuka and Nara,592 CE,710 CE,926,,Asia
Heian period,794 CE,1185 CE,900,,Asia
Kamakura and Muromachi,1185 CE,1573 CE,2,,Asia
Azuchi–Momoyama,1568 CE,1600 CE,4620,,Asia
Edo Period,1603 CE,1657 CE,5250,,Asia
Meiji and Taishō,1868 CE,1965 CE,9,,Asia
Showa,1947 CE,1991 CE,5730,,Asia
Khmer Empire,825 CE,1431 CE,881,,Asia
Mughal Empire,1526 CE,1857 CE,5910,,Asia
Joseon Dynasty,1392 CE,1897 CE,1410,,Asia
Safavid Dynasty,1501 CE,1736 CE,2860,,Asia
Nguyen Dynasty,1802 CE,1945 CE, 7940,,Asia
Mauryan Period,322 BCE,185 BCE,3060,,Asia
Tang Dynasty,618 CE,907 CE,15800,,Asia
Mid-Century Modern,1940 CE,1960 CE,650000,,America
Umayyad Period,661 CE,750 CE,537,,Arabia
