Amenhotep
Anthemius of Tralles
Apollodorus of Damascus
Aristobulus of Cassandreia
Callicrates
Hermodorus of Salamis
Hippodamus of Miletus
Ictinus
Imhotep
Ineni
Isidore of Miletus
Marcus Agrippa
Mnesicles
Rabirius
Rabirius
Senemut
Vitruvius
Yu Hao
Narasimhavarman II
Perumthachan
Abbot Suger
William the Englishman
William of Sens
Arnolfo di Cambio
Villard de Honnecourt
Robert de Luzarches
Jean d'Orbais
Radovan
Filippo Calendario
Jacopo Celega
Taddeo Gaddi
Giotto di Bondone
Anđeo Lovrov Zadranin
Juraj Lovrov Zadranin
Heinrich Parler
Johann Parler
Peter Parler
Wenzel Parler
Leon Battista Alberti
Andrea Alessi
Marko Andrijić
Donato Bramante
Filippo Brunelleschi
Mauro Codussi
Aristotele Fioravanti
Niccolò di Giovanni Fiorentino
Juan Guas
Luciano Laurana
Annibale Maggi
Paskoje Miličević Mihov
Paskoje Miličević
Michelozzo Michelozzi
Bernardo Rossellino
Giorgio da Sebenico
Jacob van Thienen
Leonardo da Vinci
Antonio Abbondi
Galeazzo Alessi
Bartolomeo Ammanati
Michelangelo
Girolamo Cassar
Vittorio Cassar
Guglielmo dei Grigi
Nikolaus Gromann
Juan de Herrera
Adam Kraft
Francesco Laparelli
Pirro Ligorio
Philibert de l'Orme
Giovanni Magenta
Hans Hendrik van Paesschen
Andrea Palladio
Antonio da Sangallo the Elder
Antonio da Sangallo the Younger
Michele Sammicheli
Raffaello Santi
Vincenzo Scamozzi
Sebastiano Serlio
Koca Mimar Sinan Agha
Friedrich Sustris
Lambert Sustris
Pellegrino Tibaldi
Giorgio Vasari
Giacomo Barozzi da Vignola
Postnik Yakovlev
Gian Lorenzo Bernini
Francesco Borromini
Ustad Ahmad Lahauri
Jacob van Campen
Pietro da Cortona
Jan Zygmunt Deybel
Johann Dientzenhofer
Leonhard Dientzenhofer
Tumas Dingli
Léopold Durand
Pietro Paolo Floriani
Lorenzo Gafà
Guarino Guarini
Jules Hardouin Mansart
Elias Holl
Inigo Jones
Louis Le Vau
Baldassarre Longhena
Carlo Maderno
François Mansart
Johann Arnold Nering
Francesco Antonio Picchiatti
Matthäus Daniel Pöppelmann
Carlo Rainaldi
Andreas Schlüter
Nicodemus Tessin the Younger
John Webb
Elizabeth Wilbraham
Elizabeth Mytton Wilbraham
Christopher Wren
Robert Adam
William Adam
Cosmas Damian Asam
Egid Quirin Asam
Joseph Bonomi the Elder
Etienne-Louis Boullee
Étienne-Louis Boullée
William Buckland
Colen Campbell
John Carr of York
Richard Cassels
William Chambers
François de Cuvilliés
Christoph Dientzenhofer
Kilian Ignaz Dientzenhofer
Laurent-Benoît Dewez
John Douglas
Nicolai Eigtved
Johann Bernhard Fischer von Erlach
Johann Michael Fischer
Pierre François Léonard Fontaine
Ange-Jacques Gabriel
Alessandro Galilei
John Gwynn
Abraham Hargrave
Peter Harrison
Nicholas Hawksmoor
Johann Lukas von Hildebrandt
James Hoban
John Hutchison
Thomas Ivory
Nicolas-Henri Jardin
